,Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
72,Greece,,Greece,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100.0,100.0
73,Denmark,Greenland,Greenland,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
74,Grenada,,Grenada,5.2,41.3,57.8,516.4,745.1,0.9,1.4,3.1,12.6,84.20245398773007,100.0
75,US,Guam,Guam,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
76,Guatemala,,Guatemala,5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96.0,92.0
77,Guinea,,Guinea,5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,37.937142857142874,62.0,89.30934579439251
78,Guinea-Bissau,,Guinea-Bissau,6.1,44.3,35.4,39.1,98.0,20.3,0.2,1.4,37.937142857142874,24.0,89.30934579439251
79,Guyana,,Guyana,4.2,58.9,35.1,192.3,332.7,5.9,0.8,1.3,8.8,89.0,81.0
80,Haiti,,Haiti,5.4,15.3,41.7,37.7,95.4,38.4,0.2,0.7,5.9,84.8,89.30934579439251
81,Honduras,,Honduras,8.4,45.9,45.0,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17.0
82,Hungary,,Hungary,7.4,65.9,29.7,942.6,1963.2,0.0,3.2,6.6,55.7,100.0,100.0
83,Iceland,,Iceland,8.3,81.5,16.9,5063.6,4245.1,0.0,4.0,15.7,101.6,100.0,100.0
84,India,,India,3.7,25.4,64.6,62.7,241.5,1.0,0.8,2.1,6.8,79.7,89.30934579439251
85,Indonesia,,Indonesia,3.1,44.7,37.3,111.6,362.7,0.4,0.4,2.1,37.937142857142874,72.0,89.30934579439251
86,Iran,,"Iran, Islamic Rep.",8.1,54.5,38.8,415.4,1563.8,0.0,1.1,1.9,5.0,99.0,89.30934579439251
87,Iraq,,Iraq,3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99.0,65.0
88,Ireland,,Ireland,7.4,72.1,13.0,4758.6,5299.7,0.0,3.1,14.3,72.0,100.0,100.0
89,United Kingdom,Isle of Man,Isle of Man,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.4,2.3,52.4,85.4,89.30934579439251
90,Israel,,Israel,7.3,62.5,23.0,2837.1,2843.0,1.5,3.2,5.2,75.6,100.0,100.0
91,Italy,,Italy,8.9,74.5,23.1,2738.7,3427.3,9.116766467065869,4.1,5.9,142.4,100.0,100.0
92,Jamaica,,Jamaica,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98.0,89.30934579439251
93,Japan,,Japan,10.9,83.6,13.5,4233.0,4592.4,0.0,2.4,11.5,37.4,100.0,100.0
94,Jordan,,Jordan,5.5,63.2,28.0,223.5,494.8,5.7,2.3,3.4,24.5,98.0,65.0
95,Kazakhstan,,Kazakhstan,3.5,58.8,35.6,262.0,858.8,1.2,3.3,8.5,73.2,100.0,91.0
96,Kenya,,Kenya,4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,89.30934579439251
97,,,Kiribati,11.9,79.6,0.1,188.0,249.8,17.0,0.2,4.8,8.2,94.0,89.30934579439251
98,,,"Korea, Dem. People's Rep.",6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,3.7,4.4,37.937142857142874,100.0,89.30934579439251
99,"Korea, South",,"Korea, Rep.",7.3,59.2,33.3,2043.9,2711.7,0.0,2.4,7.0,49.6,84.20245398773007,99.0
100,,,Kosovo,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,27.7,84.20245398773007,89.30934579439251
101,Kuwait,,Kuwait,3.9,83.9,16.1,1068.3,2899.3,0.0,2.6,7.0,37.937142857142874,84.20245398773007,95.0
102,Kyrgyzstan,,Kyrgyz Republic,6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98.0,96.0
103,Laos,,Lao PDR,2.4,32.4,46.4,55.2,154.6,18.1,0.5,1.0,3.7,73.0,89.30934579439251
104,Latvia,,Latvia,6.2,54.6,44.6,874.2,1589.7,0.0,3.2,4.8,67.6,100.0,100.0
105,Lebanon,,Lebanon,8.0,52.1,32.1,662.1,1147.4,0.8,2.3,2.6,87.4,100.0,89.30934579439251
106,,,Lesotho,8.1,63.8,18.9,85.5,242.7,17.3,0.1,0.7,0.6,43.3,89.30934579439251
107,Liberia,,Liberia,9.6,14.2,47.3,68.3,133.1,30.1,0.0,0.1,0.6,24.6,89.30934579439251
108,Libya,,Libya,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,2.2,6.7,37.937142857142874,84.20245398773007,89.30934579439251
109,Liechtenstein,,Liechtenstein,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,71.9,100.0,89.30934579439251
110,Lithuania,,Lithuania,6.7,65.6,32.3,987.9,1978.3,1.0,4.3,7.9,130.9,100.0,100.0
111,Luxembourg,,Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,3.0,12.3,80.8,100.0,100.0
112,Madagascar,,Madagascar,6.0,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83.0,89.30934579439251
113,,,Malawi,9.8,28.0,11.4,29.6,115.2,53.8,0.0,0.3,0.4,67.2,89.30934579439251
114,Malaysia,,Malaysia,3.8,50.5,37.6,361.5,1052.5,0.0,1.5,4.1,11.4,84.20245398773007,56.0
115,Maldives,,Maldives,10.6,72.6,19.1,1047.8,1628.5,0.5,1.0,4.0,4.8,98.8,84.0
116,Mali,,Mali,3.8,31.6,35.3,29.8,81.2,32.2,0.1,0.4,1.1,86.7,89.30934579439251
117,Malta,,Malta,9.3,63.1,34.8,2327.8,3511.1,0.0,3.8,9.0,113.5,100.0,99.9
118,,,Marshall Islands,23.3,52.6,9.0,851.3,934.4,35.4,0.5,3.5,15.9,84.0,89.30934579439251
119,Mauritania,,Mauritania,4.2,36.7,50.9,46.8,163.9,8.2,0.2,1.0,37.937142857142874,66.0,89.30934579439251
120,Mauritius,,Mauritius,5.7,44.1,48.2,553.1,1206.7,0.2,2.0,3.4,17.6,84.20245398773007,100.0
121,Mexico,,Mexico,5.5,52.1,40.4,461.8,971.8,9.116766467065869,2.2,2.9,37.937142857142874,95.0,99.0
122,,,"Micronesia, Fed. Sts.",12.6,27.8,2.6,386.7,431.6,69.2,0.2,3.3,7.0,84.20245398773007,89.30934579439251
123,Moldova,,Moldova,9.0,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100.0,90.0
124,Monaco,,Monaco,1.7,79.6,7.1,2939.8,3019.1,9.116766467065869,6.6,20.3,195.6,100.0,80.0
125,Mongolia,,Mongolia,3.8,56.7,35.9,140.7,466.7,3.9,2.9,4.0,45.0,99.0,92.0
126,Montenegro,,Montenegro,7.6,75.0,24.1,531.7,1333.9,0.4,2.3,5.7,64.1,99.0,100.0
127,Morocco,,Morocco,5.8,46.9,48.6,171.5,465.7,0.7,0.7,1.1,3.7,96.0,24.3
128,Mozambique,,Mozambique,5.1,53.3,7.7,19.2,61.6,38.1,0.1,0.4,0.5,55.0,89.30934579439251
129,,,Myanmar,5.1,20.1,74.0,62.1,291.1,5.9,0.9,1.0,2.4,81.3,89.30934579439251
130,Namibia,,Namibia,9.1,61.9,7.7,402.8,969.3,7.0,0.4,2.8,6.1,78.0,89.30934579439251
131,Nepal,,Nepal,6.3,18.6,55.4,45.5,156.0,11.7,0.7,2.7,3.0,56.2,89.30934579439251
132,Netherlands,,Netherlands,10.4,81.0,11.5,4742.0,5251.2,0.0,3.5,11.1,49.0,100.0,100.0
133,France,New Caledonia,New Caledonia,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
134,New Zealand,,New Zealand,9.2,78.7,13.6,3745.2,3664.7,0.0,3.0,11.0,43.0,100.0,100.0
135,Nicaragua,,Nicaragua,8.7,61.3,32.2,188.2,484.5,4.6,1.0,1.6,15.5,85.0,68.0
136,Niger,,Niger,6.2,24.3,58.5,22.7,61.4,13.0,0.1,0.3,0.4,63.9,89.30934579439251
137,Nigeria,,Nigeria,3.6,13.0,75.2,79.3,213.7,9.8,0.4,1.5,1.4,47.0,89.30934579439251
138,North Macedonia,,North Macedonia,6.3,63.6,35.4,327.8,934.6,0.7,2.9,3.8,61.2,100.0,100.0
139,,,Northern Mariana Islands,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
140,Norway,,Norway,10.5,85.1,14.5,7477.9,6203.5,0.0,4.6,18.1,67.2,100.0,100.0
141,Oman,,Oman,4.3,89.1,5.9,648.3,2826.8,0.0,2.0,4.3,30.5,100.0,87.0
142,Pakistan,,Pakistan,2.8,27.9,65.2,39.6,144.1,4.1,1.0,0.5,5.5,42.2,89.30934579439251
143,,,Palau,11.7,59.8,14.5,1674.1,1891.9,15.4,1.2,5.3,37.937142857142874,84.20245398773007,89.30934579439251
144,Panama,,Panama,7.3,65.6,27.4,1040.7,1750.3,0.7,1.6,1.4,26.2,96.0,90.0
145,Papua New Guinea,,Papua New Guinea,2.0,70.0,7.9,55.2,92.3,22.1,0.1,0.5,2.3,84.20245398773007,89.30934579439251
146,Paraguay,,Paraguay,8.0,51.6,37.9,327.2,767.8,0.0,1.4,1.2,20.5,69.0,81.0
147,Peru,,Peru,5.1,64.1,28.3,316.4,681.0,0.3,1.3,1.4,42.9,98.0,69.0
148,Philippines,,Philippines,4.4,31.5,53.9,129.4,342.3,2.2,1.3,0.2,9.6,91.8,90.0
149,Poland,,Poland,6.5,69.7,22.9,809.0,1784.4,0.2,2.4,5.7,67.9,100.0,100.0
150,Portugal,,Portugal,9.1,66.4,27.8,1800.9,2778.4,9.116766467065869,3.3,6.4,86.1,100.0,100.0
151,US,Puerto Rico,Puerto Rico,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
152,Qatar,,Qatar,3.1,81.6,8.6,1827.1,3926.1,0.0,0.0,6.6,14.5,100.0,77.0
153,Romania,,Romania,5.0,78.2,20.7,476.4,1152.2,0.0,2.3,6.1,60.5,84.20245398773007,100.0
